"","x"
"1",0
"2",0.0216216216216216
"3",0.0108108108108108
"4",0
"5",0
"6",0
"7",0
"8",0.0162162162162162
"9",0.113513513513514
"10",0.340540540540541
"11",0.740540540540541
"12",0.718918918918919
"13",0.459459459459459
"14",0.827027027027027
"15",0.610810810810811
"16",0.8
"17",0.627027027027027
"18",0.627027027027027
"19",0.367567567567568
"20",0.237837837837838
"21",0.221621621621622
"22",0.189189189189189
"23",0.12972972972973
"24",0.0486486486486487
"25",0.0108108108108108
"26",0.0162162162162162
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.0162162162162162
"33",0.118918918918919
"34",0.32972972972973
"35",0.594594594594595
"36",0.513513513513513
"37",0.421621621621622
"38",0.8
"39",0.735135135135135
"40",0.648648648648649
"41",0.464864864864865
"42",0.340540540540541
"43",0.32972972972973
"44",0.308108108108108
"45",0.113513513513514
"46",0.0648648648648649
"47",0.0162162162162162
"48",0
"49",0
"50",0.0162162162162162
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0.00540540540540541
"57",0.0108108108108108
"58",0
"59",0
"60",0.0378378378378378
"61",0.0702702702702703
"62",0
"63",0
"64",0.0432432432432432
"65",0.0108108108108108
"66",0.0324324324324324
"67",0.0162162162162162
"68",0.00540540540540541
"69",0
"70",0
"71",0
"72",0
"73",0.00540540540540541
"74",0.027027027027027
"75",0.0162162162162162
"76",0.00540540540540541
"77",0
"78",0
"79",0
"80",0.0108108108108108
"81",0.0108108108108108
"82",0
"83",0
"84",0.0324324324324324
"85",0.0594594594594595
"86",0
"87",0
"88",0.0432432432432432
"89",0.0162162162162162
"90",0.0378378378378378
"91",0.0162162162162162
"92",0.00540540540540541
"93",0
"94",0
"95",0
"96",0
"97",0.0108108108108108
"98",0
"99",0
"100",0
"101",0
"102",0.00540540540540541
"103",0.0108108108108108
"104",0.0432432432432432
"105",0.140540540540541
"106",0.524324324324324
"107",0.686486486486486
"108",0.756756756756757
"109",0.540540540540541
"110",0.745945945945946
"111",0.627027027027027
"112",0.654054054054054
"113",0.659459459459459
"114",0.502702702702703
"115",0.545945945945946
"116",0.572972972972973
"117",0.389189189189189
"118",0.216216216216216
"119",0.0594594594594595
"120",0.0162162162162162
"121",0
"122",0.0216216216216216
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0.0594594594594595
"129",0.210810810810811
"130",0.486486486486487
"131",0.664864864864865
"132",0.940540540540541
"133",0.362162162162162
"134",0.854054054054054
"135",0.664864864864865
"136",0.735135135135135
"137",0.535135135135135
"138",0.52972972972973
"139",0.540540540540541
"140",0.518918918918919
"141",0.459459459459459
"142",0.345945945945946
"143",0.162162162162162
"144",0.0756756756756757
"145",0.00540540540540541
"146",0.0162162162162162
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0.0432432432432432
"153",0.118918918918919
"154",0.427027027027027
"155",0.740540540540541
"156",0.681081081081081
"157",0.875675675675676
"158",0.654054054054054
"159",0.540540540540541
"160",0.616216216216216
"161",0.848648648648649
"162",0.648648648648649
"163",0.572972972972973
"164",0.443243243243243
"165",0.437837837837838
"166",0.216216216216216
"167",0.0486486486486487
"168",0.0162162162162162
"169",0
"170",0.0162162162162162
"171",0.00540540540540541
"172",0
"173",0
"174",0
"175",0
"176",0.0216216216216216
"177",0.0918918918918919
"178",0.389189189189189
"179",0.697297297297297
"180",0.827027027027027
"181",0.562162162162162
"182",0.67027027027027
"183",0.751351351351351
"184",0.659459459459459
"185",0.654054054054054
"186",0.572972972972973
"187",0.4
"188",0.259459459459459
"189",0.243243243243243
"190",0.227027027027027
"191",0.12972972972973
"192",0.0486486486486487
"193",0.0108108108108108
"194",0.0162162162162162
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0.0162162162162162
"201",0.108108108108108
"202",0.27027027027027
"203",0.508108108108108
"204",0.610810810810811
"205",0.437837837837838
"206",0.664864864864865
"207",0.827027027027027
"208",0.762162162162162
"209",0.486486486486487
"210",0.318918918918919
"211",0.27027027027027
"212",0.281081081081081
"213",0.135135135135135
"214",0.0756756756756757
"215",0.0108108108108108
"216",0
"217",0
"218",0.0162162162162162
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0.00540540540540541
"225",0.0108108108108108
"226",0
"227",0
"228",0.0486486486486487
"229",0.0864864864864865
"230",0
"231",0
"232",0.0378378378378378
"233",0.0108108108108108
"234",0.0324324324324324
"235",0.0162162162162162
"236",0.00540540540540541
"237",0
"238",0
"239",0
"240",0
"241",0.0108108108108108
"242",0.0324324324324324
"243",0.0162162162162162
"244",0.00540540540540541
"245",0
"246",0
"247",0
"248",0.0108108108108108
"249",0.0108108108108108
"250",0
"251",0
"252",0.0324324324324324
"253",0.0594594594594595
"254",0
"255",0
"256",0.0432432432432432
"257",0.0162162162162162
"258",0.0378378378378378
"259",0.0162162162162162
"260",0.00540540540540541
"261",0
"262",0
"263",0
"264",0
"265",0.0108108108108108
"266",0
"267",0
"268",0
"269",0
"270",0.00540540540540541
"271",0.0162162162162162
"272",0.0324324324324324
"273",0.135135135135135
"274",0.437837837837838
"275",0.713513513513514
"276",0.772972972972973
"277",0.545945945945946
"278",0.627027027027027
"279",0.6
"280",0.632432432432432
"281",0.643243243243243
"282",0.47027027027027
"283",0.508108108108108
"284",0.556756756756757
"285",0.475675675675676
"286",0.172972972972973
"287",0.0594594594594595
"288",0.0162162162162162
"289",0
"290",0.0216216216216216
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0.0540540540540541
"297",0.178378378378378
"298",0.459459459459459
"299",0.745945945945946
"300",0.967567567567568
"301",0.464864864864865
"302",0.756756756756757
"303",0.702702702702703
"304",0.583783783783784
"305",0.686486486486486
"306",0.621621621621622
"307",0.535135135135135
"308",0.443243243243243
"309",0.427027027027027
"310",0.345945945945946
"311",0.210810810810811
"312",0.0810810810810811
"313",0.0108108108108108
"314",0.0162162162162162
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0.0324324324324324
"321",0.118918918918919
"322",0.481081081081081
"323",0.594594594594595
"324",0.767567567567568
"325",0.751351351351351
"326",0.616216216216216
"327",0.627027027027027
"328",0.724324324324324
"329",0.827027027027027
"330",0.637837837837838
"331",0.497297297297297
